hora,multas,tiempos,choques,velocidades,cant_autos
0,0,540.1727019498608,0,3543.5820025819826,359
1,1,668.05,0,3145.7082638222746,360
2,2,664.975,0,2104.3271501128615,360
3,1,663.6312849162011,0,1875.800303545802,358
4,1,671.8016759776536,0,1924.3677484524976,358
5,2,662.0388888888889,0,2947.844021246286,360
6,0,665.7472222222223,0,2717.1960951927517,360
7,1,617.7259887005649,0,1674.4714407372385,708
8,1,680.1200564971751,0,1486.8991829437114,708
9,0,681.8928067700988,0,1619.7366543238957,709
10,0,689.2142857142857,0,1777.0999410052439,700
11,0,799.1197771587744,0,2571.4593632863916,359
12,0,665.991643454039,0,1994.839201265003,359
13,0,666.1977715877438,0,1808.8979834356942,359
14,0,666.0139275766016,0,1339.822988964365,359
15,0,666.1,0,1251.130829404699,360
16,0,610.9888734353268,0,1110.0988189303275,719
17,0,677.0919067215364,0,1143.1629077274092,729
18,0,676.1627586206896,0,1003.6130711209908,725
19,1,674.6573816155989,0,968.1953140049882,718
20,1,799.4679665738162,0,1135.5649686167906,359
21,1,664.268156424581,0,1024.2460460401219,358
22,0,665.4666666666667,0,1141.979788076496,360
23,0,665.9245810055866,0,1114.5138323012404,358
