hora,multas,tiempos,choques,velocidades,cant_autos
0,0,540.8440111420613,0,292.7664126805963,359
1,0,660.6050420168067,0,280.92391890675725,357
2,1,662.4361111111111,0,277.3506293319882,360
3,1,664.5333333333333,0,249.97141790836756,360
4,2,660.2729805013928,0,243.8261165557122,359
5,0,661.4527777777778,0,237.25646375934997,360
6,2,662.225,0,224.72106939375576,360
7,0,614.6327372764787,0,174.99957752704572,727
8,0,688.5159059474412,0,182.30422261058604,723
9,0,683.582295988935,0,155.64921843840438,723
10,0,680.9554937413074,0,144.5010186622461,719
11,2,804.6190476190476,0,177.86838338177023,357
12,2,661.85,0,172.66060252280536,360
13,3,664.1944444444445,0,170.19163585278153,360
14,0,660.6583333333333,0,165.70431336851422,360
15,0,662.0888888888888,0,163.1868817871414,360
16,0,615.075208913649,0,123.50864439380696,718
17,0,682.0393811533052,0,125.56326152749686,711
18,0,686.4496453900709,0,118.90604351354028,705
19,0,686.5905848787446,0,116.54510490348112,701
20,3,794.7222222222222,0,138.94847816762496,360
21,2,662.4138888888889,0,129.58968031435498,360
22,2,662.6833333333333,0,125.70983126909196,360
23,2,662.5555555555555,0,122.90406054464277,360
